Start Date,End Date,ATL,BKN,BOS,CHA,CHI,CLE,CNS,DAL,DEN,DET,EST,FLA,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,MRA,NOP,NYK,NZB,OKC,ORL,PHI,PHX,POR,RMD,SAC,SAS,TOR,UTA,WAS,WST
2024-02-29,2024-03-03,2,2,2,3,1,2,0,2,2,2,0,0,3,2,2,2,2,2,2,2,2,0,1,2,0,2,2,2,3,2,0,1,2,2,2,2,0,
2024-03-04,2024-03-06,2,2,1,1,2,2,0,1,1,1,0,0,1,2,1,2,2,2,1,2,1,0,1,1,0,2,2,2,1,2,0,2,1,1,2,2,0,
2024-03-07,2024-03-10,2,3,2,2,2,2,0,2,2,2,0,0,2,2,2,2,2,2,3,2,3,0,2,2,0,2,2,2,2,2,0,2,2,2,1,2,0,
2024-03-11,2024-03-13,1,1,2,2,2,2,0,2,2,2,0,0,2,1,2,1,1,2,1,1,1,0,1,1,0,1,1,1,1,2,0,2,2,2,1,1,0,
2024-03-14,2024-03-17,2,2,2,2,2,1,0,2,2,2,0,0,1,2,1,3,1,1,2,2,1,0,2,2,0,2,2,2,3,2,0,1,2,2,2,3,0,
2024-03-18,2024-03-20,1,1,2,1,1,2,0,1,1,2,0,0,2,1,2,1,1,2,2,1,2,0,1,1,0,1,1,2,1,2,0,2,1,1,2,1,0,
2024-03-21,2024-03-24,2,2,2,1,2,2,0,1,2,2,0,0,2,2,2,2,2,1,2,2,2,0,3,2,0,2,2,2,2,2,0,2,2,2,2,2,0,
2024-03-25,2024-03-27,2,2,1,2,2,2,0,2,2,2,0,0,2,2,2,2,2,2,1,1,1,0,1,2,0,2,1,2,2,2,0,2,2,2,2,2,0,
2024-03-28,2024-03-31,2,2,2,2,2,2,0,2,2,1,0,0,2,2,1,2,2,1,2,2,2,0,2,2,0,2,2,2,1,1,0,2,2,1,2,2,0,
2024-04-01,2024-04-03,2,2,2,2,1,2,0,1,1,2,0,0,1,1,2,1,2,2,1,2,2,0,2,1,0,2,2,1,2,2,0,1,1,2,1,2,0,
2024-04-04,2024-04-07,2,2,2,2,2,2,0,3,2,2,0,0,3,3,2,3,2,2,3,2,2,0,2,3,0,2,2,3,2,2,0,3,2,2,2,2,0,
2024-04-08,2024-04-10,2,1,1,2,1,1,0,2,2,1,0,0,1,1,1,2,1,2,2,2,2,0,1,1,0,2,2,1,2,1,0,1,2,2,1,1,0,
2024-04-11,2024-04-14,2,2,3,2,3,2,0,2,2,3,0,0,3,3,2,2,2,2,2,2,2,0,3,3,0,2,2,2,2,3,0,3,2,2,3,2,0,
